2020-04-07 15:30:03,618 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 15:30:03,629 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 15:32:02,560 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 15:32:02,568 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 15:32:41,109 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 15:32:41,116 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 15:41:47,864 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 15:41:47,878 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 15:42:14,301 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 15:42:14,311 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 16:28:29,501 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 16:28:29,535 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 16:30:31,590 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 16:30:31,606 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 16:41:05,576 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 16:41:05,589 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 16:41:30,703 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 16:41:30,709 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 16:41:54,843 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 16:41:54,856 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 16:44:32,276 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 16:44:32,287 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
