2020-04-07 14:58:31,683 INFO [root] [testcase.py test_run_case:32] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 14:58:31,696 INFO [root] [testcase.py test_run_case:32] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 15:00:07,622 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 15:00:07,628 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 15:06:20,576 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 15:06:20,592 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 15:07:40,399 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 15:07:40,417 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 15:10:15,394 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 15:10:15,408 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 15:16:17,559 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 15:16:17,578 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 15:21:23,681 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 15:21:23,698 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
2020-04-07 15:23:33,718 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 0, 'msg': 'ok', 'value': 3}]
2020-04-07 15:23:33,726 INFO [root] [testcase.py test_run_case:31] - [页面返回信息：{'code': 1000, 'msg': 'success', 'value': 1}]
